Kappa_MHz,Fidelidade
0.1,0.9091821367792965
0.3020408163265306,0.908910327215204
0.5040816326530613,0.9086475955238652
0.7061224489795919,0.908393713040125
0.9081632653061225,0.9081475411469909
1.1102040816326533,0.9079087497364581
1.3122448979591839,0.9076766360115291
1.5142857142857145,0.9074507142758161
1.716326530612245,0.9072307682454597
1.9183673469387756,0.9070159066310659
2.1204081632653065,0.9068059738720444
2.322448979591837,0.9066004988647546
2.5244897959183676,0.9063993489055316
2.7265306122448982,0.9062019803601601
2.928571428571429,0.9060083024427175
3.1306122448979594,0.9058178349138422
3.33265306122449,0.9056304228866718
3.5346938775510206,0.9054458432145797
3.736734693877551,0.9052636927391987
3.938775510204082,0.905084171414997
4.140816326530612,0.9049067318543125
4.3428571428571425,0.9047316145899631
4.544897959183674,0.9045582274531752
4.746938775510204,0.9043870945620333
4.948979591836735,0.9042172271314756
5.151020408163265,0.9040487470938845
5.353061224489796,0.9038816868795648
5.555102040816326,0.9037158543129616
5.757142857142857,0.9035513227352528
5.959183673469387,0.9033878967692649
6.161224489795918,0.9032255257987899
6.3632653061224485,0.9030640978133526
6.5653061224489795,0.9029035727588838
6.7673469387755105,0.9027437361390884
6.969387755102041,0.9025849760418394
7.171428571428572,0.9024269327386114
7.373469387755102,0.9022694346495268
7.575510204081633,0.9021125873037457
7.777551020408163,0.901956154788608
7.979591836734694,0.9018005922931108
8.181632653061225,0.9016454802696259
8.383673469387755,0.9014907762463487
8.585714285714285,0.9013365477208204
8.787755102040816,0.9011825920881348
8.989795918367347,0.9010292573709371
9.191836734693878,0.9008762940227023
9.393877551020408,0.9007236502608447
9.595918367346938,0.9005713296593943
9.79795918367347,0.9004191959882338
10.0,0.900267603448994
